Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,15
design__inferred_latch__count,0
design__instance__count,2865
design__instance__area,90441.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.004136248491704464
power__switching__total,0.0028807271737605333
power__leakage__total,0.0000026396423891128507
power__total,0.007019615266472101
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,0.37542120474966745
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.3876929997882805
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.09032908010581314
timing__setup__ws__corner:nom_fast_1p32V_m40C,3.609001644129324
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.090329
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,3.609002
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,0.8552025440983373
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.8822867131058169
timing__hold__ws__corner:nom_slow_1p08V_125C,0.31646852700822975
timing__setup__ws__corner:nom_slow_1p08V_125C,1.9481652398264988
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.316469
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,1.948165
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,0.5426672043106853
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.5609619594282307
timing__hold__ws__corner:nom_typ_1p20V_25C,0.18174712249612782
timing__setup__ws__corner:nom_typ_1p20V_25C,2.981158515538515
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.181747
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,2.981158
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,0.8552025440983373
clock__skew__worst_setup,0.3876929997882805
timing__hold__ws,0.09032908010581314
timing__setup__ws,1.9481652398264988
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.090329
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.948165
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 500.0 200.0
design__core__bbox,2.88 3.78 496.8 192.78
design__io,48
design__die__area,100000
design__core__area,93350.9
design__instance__count__stdcell,697
design__instance__area__stdcell,19040.3
design__instance__count__macros,2
design__instance__area__macros,46880
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.706156
design__instance__utilization__stdcell,0.409726
design__rows,83
design__rows:CoreSite,83
design__sites,24009
design__sites:CoreSite,24009
design__instance__count__class:macro,2
design__instance__area__class:macro,46880
design__instance__count__class:buffer,3
design__instance__area__class:buffer,136.08
design__instance__count__class:inverter,10
design__instance__area__class:inverter,54.432
design__instance__count__class:sequential_cell,201
design__instance__area__class:sequential_cell,9810.46
design__instance__count__class:multi_input_combinational_cell,236
design__instance__area__class:multi_input_combinational_cell,3679.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,7
flow__warnings__count:ORD-2011,2
flow__warnings__count:STA-1140,4
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,4304.79
design__instance__displacement__mean,6.158
design__instance__displacement__max,135.06
route__wirelength__estimated,48115.8
design__violations,0
design__instance__count__class:clock_buffer,104
design__instance__area__class:clock_buffer,4096.92
design__instance__count__class:timing_repair_buffer,122
design__instance__area__class:timing_repair_buffer,1130.37
design__instance__count__class:clock_inverter,21
design__instance__area__class:clock_inverter,132.451
flow__warnings__count:CTS-0041,28
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,27
global_route__vias,5984
global_route__wirelength,70682
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,701
route__net__special,4
route__drc_errors__iter:0,318
route__wirelength__iter:0,54504
route__drc_errors__iter:1,42
route__wirelength__iter:1,54352
route__drc_errors__iter:2,35
route__wirelength__iter:2,54349
route__drc_errors__iter:3,0
route__wirelength__iter:3,54327
route__drc_errors,0
route__wirelength,54327
route__vias,5199
route__vias__singlecut,5199
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,768.885
design__instance__count__class:fill_cell,2166
design__instance__area__class:fill_cell,24521.6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,81
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,81
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,81
